POINT NAME,DIST FROM A,DIST FROM B,DIST FROM C,DIST FROM D
N1,34'-4 1 /4,"38'-5""","16'-11""","24'-1 1/2"""
P,12'-7 1/2,"27'-6 1 /2""","17'-5 1 /2""","30'-0 3/4"""
P1,10'-7 1/4,"26' -8""","21'-0 1 /2""","32'-3 1/4"""
Q,24'-1,"12'-7 1 /4""","31'-2 1 /4""","23'-5 3/4"""
R,20'-6 1/4,"31'-11 1/4""","10'-9 3/4""","26'-9"""
R1,24'-1 3/4,"34'-4 1 /2""",10',"26'-5 1/4"""
s,32'-1 1/2,"24'-8 1/2""",24',"12'-5 1/2"""
T,13'-0 1 /4,"38'-8 1/4""",9',"37'-6 1/4"""
U,38'-8 1 /4,"13'-0 1 /4""","37'-6 1 /4""",9'
