# One line per accepted finding: file|defun|kind|detail
# Regenerate with: python3 tools/check_scope.py --update-baseline
lisp/cabhd/CABHD.lsp|cab:edit-holds|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:edit-walls|setq|cab-phase
lisp/cabhd/CABHD.lsp|cab:edit-walls|setq|cab-walls
lisp/cabhd/CABHD.lsp|cab:fit-arc-seg|setq|cab-miss-left
lisp/cabhd/CABHD.lsp|cab:guided-fit|setq|cab-miss-left
lisp/cabhd/CABHD.lsp|cab:has-arcs|foreach|s
lisp/cabhd/CABHD.lsp|cab:omit-loop|setq|cab-omitted
lisp/cabhd/CABHD.lsp|cab:prune-decls|setq|cab-corners
lisp/cabhd/CABHD.lsp|cab:prune-decls|setq|cab-holds
lisp/cabhd/CABHD.lsp|cab:prune-decls|setq|cab-walls
lisp/cabhd/CABHD.lsp|cab:sweep-marks|setq|cab-temp
lisp/cabhd/CABHD.lsp|cab:temp-add|setq|cab-temp
lisp/cabhd/CABHD.lsp|cab:temp-clear|setq|cab-temp
lisp/cabhd/CABHD.lsp|cab:temp-drop|setq|cab-temp
lisp/ccprecheck/ccprecheck.lsp|c:ccprecheck|foreach|line
lisp/ccprecheck/ccprecheck.lsp|c:ccprecheck|setq-global|*chk:log*
lisp/ccprecheck/ccprecheck.lsp|chk:ask|setq-global|*chk:prev*
lisp/ccprecheck/ccprecheck.lsp|chk:log|setq-global|*chk:log*
lisp/ccprecheck/ccprecheck.lsp|chk:trim|foreach|l
lisp/ccprecheck/ccprecheck.lsp|chk:trim|setq-global|*chk:log*
lisp/cdcallout/CDCALLOUT.lsp|c:cdcallout|setq-global|*error*
lisp/cdcreate/CDCREATE.lsp|c:cdcreate|foreach|pr
lisp/cdcreate/CDCREATE.lsp|c:cdcreate|setq-global|*error*
lisp/cdcreate/CDCREATE.lsp|cdc:fixdim|foreach|code
lisp/cdcreate/CDCREATE.lsp|cdc:names|foreach|n
lisp/cdcreate/CDCREATE.lsp|cdc:strip|foreach|g
lisp/check/check_drawing.lsp|cfchk:closest-of|foreach|q
lisp/check/check_drawing.lsp|cfchk:nearest-curve|foreach|e
lisp/check/check_drawing.lsp|cfchk:nearest-end|foreach|e
lisp/check/check_drawing.lsp|cfchk:nearest-end|foreach|q
lisp/check/check_drawing.lsp|cfchk:rebuild-arc|foreach|pair
lisp/covercheck/covercheck.lsp|cchk:pv-dodge|foreach|pad
lisp/covercheck/covercheck.lsp|cchk:pv-dodge|foreach|q
lisp/covercheck/covercheck.lsp|cchk:pv-features|foreach|ctr
lisp/custblock/CUSTBLOCK.lsp|c:custblock|setq-global|*error*
lisp/custblock/CUSTBLOCK.lsp|cbk:fixdim|foreach|code
lisp/custblock/CUSTBLOCK.lsp|cbk:strip|foreach|g
lisp/dim_continue/dim_continue.lsp|c:dimcontend|foreach|p
lisp/dim_continue/dim_continue.lsp|c:dimcontend|foreach|pr
lisp/dim_continue/dim_continue.lsp|c:dimcontend|setq-global|*error*
lisp/dim_continue/dim_continue.lsp|dce:pts|foreach|g
lisp/drone_height/DroneHeightGPS.lsp|ddg-adodb-read|foreach|s
lisp/drone_height/DroneHeightGPS.lsp|ddg-certutil-read|foreach|b
lisp/drone_height/DroneHeightGPS.lsp|ddg-fail|foreach|l
lisp/drone_height/DroneHeightGPS.lsp|ddg-http-get|foreach|prog
lisp/drone_height/DroneHeightGPS.lsp|ddg-place-text|foreach|ln
lisp/drone_height/DroneHeightGPS.lsp|ddg-report|foreach|l
lisp/fitabhd/FITABHD.lsp|fit:add-point|setq|fit-nmoved
lisp/fitabhd/FITABHD.lsp|fit:add-point|setq|fit-npt
lisp/fitabhd/FITABHD.lsp|fit:add-point|setq|fit-ptnames
lisp/fitabhd/FITABHD.lsp|fit:add-point|setq|fit-pts
lisp/fitabhd/FITABHD.lsp|fit:omit-loop|setq|fit-omit
lisp/lhd/lhd.lsp|c:lhd|setq-global|*error*
lisp/lhd/lhd.lsp|lh:add-point|setq|lh-ptnames
lisp/lhd/lhd.lsp|lh:add-point|setq|lh-zvals
lisp/lhd/lhd.lsp|lh:add-point|setq|npt
lisp/lhd/lhd.lsp|lh:add-point|setq|pts
lisp/lhd/lhd.lsp|lh:ask-cap|setq-global|*lh-max-arcs*
lisp/lhd/lhd.lsp|lh:ask-shape|setq-global|*lh-shape*
lisp/lhd/lhd.lsp|lh:ask-tol|setq-global|*lh-tol*
lisp/lhd/lhd.lsp|lh:ask-zmode|setq-global|*lh-zmode*
lisp/lhd/lhd.lsp|lh:compare|setq|lh-phase
lisp/lhd/lhd.lsp|lh:edit-corners|setq|lh-corners
lisp/lhd/lhd.lsp|lh:edit-corners|setq|lh-phase
lisp/lhd/lhd.lsp|lh:edit-holds|setq|lh-holds
lisp/lhd/lhd.lsp|lh:edit-holds|setq|lh-phase
lisp/lhd/lhd.lsp|lh:edit-walls|setq|lh-phase
lisp/lhd/lhd.lsp|lh:edit-walls|setq|lh-walls
lisp/lhd/lhd.lsp|lh:has-arcs|foreach|s
lisp/lhd/lhd.lsp|lh:sweep-marks|setq|lh-temp
lisp/lhd/lhd.lsp|lh:temp-add|setq|lh-temp
lisp/lhd/lhd.lsp|lh:temp-clear|setq|lh-temp
lisp/lhd/lhd.lsp|lh:temp-drop|setq|lh-temp
lisp/lincheck/lincheck.lsp|c:lincheck|setq-global|*lin:log*
lisp/lincheck/lincheck.lsp|lin:ask|setq-global|*lin:prev*
lisp/lincheck/lincheck.lsp|lin:log|setq-global|*lin:log*
lisp/lincheck/lincheck.lsp|lin:report|foreach|line
lisp/lincheck/lincheck.lsp|lin:st-fib|setq|fib
lisp/lincheck/lincheck.lsp|lin:st-vin|setq|vin
lisp/lincheck/lincheck.lsp|lin:trim|foreach|l
lisp/lincheck/lincheck.lsp|lin:trim|setq-global|*lin:log*
lisp/lintxtchk/LINTXTCHK.lsp|c:lintxtchk|foreach|item
lisp/mohamaddle/MOHAMADDLE.lsp|mohamaddle--dodge|foreach|pad
lisp/mohamaddle/MOHAMADDLE.lsp|mohamaddle--dodge|foreach|q
lisp/mohamaddle/MOHAMADDLE.lsp|mohamaddle--features|foreach|ctr
lisp/paddle/PADDLE.lsp|c:tutorialpaddle|foreach|e
lisp/paddle/PADDLE.lsp|paddle--dodge|foreach|pad
lisp/paddle/PADDLE.lsp|paddle--dodge|foreach|q
lisp/paddle/PADDLE.lsp|paddle--features|foreach|ctr
lisp/perp_points/perp_points.lsp|perp:dedupe|foreach|p
lisp/perp_points/perp_points.lsp|perp:verts|foreach|x
lisp/pool/POOL.LSP|pool:askcorner|foreach|e
lisp/pool/POOL.LSP|pool:askh|foreach|e
lisp/pool/POOL.LSP|pool:asks|foreach|e
lisp/pool/POOL.LSP|pool:crossget|foreach|c
lisp/pool/POOL.LSP|pool:crossmax|foreach|c
lisp/pool/POOL.LSP|pool:crossresid|foreach|m
lisp/pool/POOL.LSP|pool:edgemax|foreach|e
lisp/pool/POOL.LSP|pool:effcross|foreach|m
lisp/pool/POOL.LSP|pool:fitpoly|foreach|c
lisp/pool/POOL.LSP|pool:hexcross|foreach|pr
lisp/pool/POOL.LSP|pool:muttflow|setq|km
lisp/pool/POOL.LSP|pool:muttflow|setq|n
lisp/pool/POOL.LSP|pool:muttflow|setq|spec
lisp/pool/POOL.LSP|pool:pvkill|foreach|e
lisp/pool/POOL.LSP|pool:rawavg|foreach|m
lisp/pool/POOL.LSP|pool:setnth|foreach|x
lisp/pool/POOLDEMO.LSP|pooldemo:run|foreach|fn
lisp/pool/POOLDEMO.LSP|pooldemo:run|setq-global|pool:*dotlt*
lisp/pool/POOLDEMO.LSP|pooldemo:run|setq-global|pool:*smallwarned*
lisp/pool/TUTORIALPOOL.LSP|tutorial:run|setq-global|pool:*base*
lisp/pool/TUTORIALPOOL.LSP|tutorial:run|setq-global|pool:*dotlt*
lisp/pool/TUTORIALPOOL.LSP|tutorial:run|setq-global|pool:*smallwarned*
lisp/spa/TUTORIALSPA.LSP|tut:demo|setq-global|spa:*advice*
lisp/spa/TUTORIALSPA.LSP|tut:demo|setq-global|spa:*base*
lisp/spa/TUTORIALSPA.LSP|tut:demo|setq-global|spa:*dotlt*
lisp/spa/TUTORIALSPA.LSP|tut:demo|setq-global|spa:*spillturn*
lisp/spa/TUTORIALSPA.LSP|tut:demo|setq-global|spa:*turned*
lisp/spa/TUTORIALSPA.LSP|tut:demo|setq-global|spa:*valnotes*
lisp/spacheck/SPACHECK.lsp|spachk:demo|setq|undo-open
lisp/standards_checker/src/acady-cache.lsp|acady-parse-standard|setq-global|*acady-scan-err*
lisp/standards_checker/src/acady-cache.lsp|acady-scan-standards|foreach|f
lisp/standards_checker/src/acady-cache.lsp|acady-scan-standards|setq-global|*acady-standards*
lisp/standards_checker/src/acady-cache.lsp|c:acady-scan|foreach|e
lisp/standards_checker/src/acady-cache.lsp|c:acady-scan|foreach|w
lisp/standards_checker/src/acady-config.lsp|acady-cfg-save|foreach|pair
lisp/standards_checker/src/acady-dbx.lsp|acady-dbx--candidates|foreach|v
lisp/standards_checker/src/acady-dbx.lsp|acady-dbx--probe|foreach|pid
lisp/standards_checker/src/acady-geom.lsp|acady-objs->sigs|foreach|ch
lisp/standards_checker/src/acady-geom.lsp|acady-objs->sigs|foreach|obj
lisp/standards_checker/src/acady-geom.lsp|acady-segs->sig|setq-global|*acady-turnsum*
lisp/standards_checker/src/acady-geom.lsp|acady-segs-area|foreach|seg
lisp/standards_checker/src/acady-geom.lsp|acady-sublist|foreach|x
lisp/standards_checker/src/acady-loader.lsp|acady-get-selection-objs|setq-global|*acady-last-objs*
lisp/standards_checker/src/acady-loader.lsp|c:acady-dumpsig|foreach|sig
lisp/standards_checker/src/acady-match.lsp|acady-match-run|foreach|entry
lisp/standards_checker/src/acady-match.lsp|c:matchstd|foreach|r
lisp/standards_checker/src/acady-ui.lsp|acady-ui-cleanup|foreach|en
lisp/standards_checker/src/acady-ui.lsp|acady-ui-details|foreach|s
lisp/standards_checker/src/acady-ui.lsp|acady-ui-highlight|foreach|obj
lisp/standards_checker/src/acady-ui.lsp|acady-ui-show|foreach|r
lisp/standards_checker/src/acady-ui.lsp|acady-ui-show|setq-global|*error*
lisp/standards_checker/src/acady-util.lsp|acady-catch|setq-global|*acady-last-err*
lisp/standards_checker/src/acady-util.lsp|acady-str-join|foreach|s
lisp/standards_checker/src/acady-util.lsp|acady-sum|foreach|x
lisp/tydrn/tydrn.lsp|tydrn:relock-layers|foreach|obj
lisp/tydrn/tydrn.lsp|tydrn:unlock-layers|foreach|name
lisp/wcalst/wcalst.lsp|c:wcalst|foreach|e
lisp/wcalst/wcalst.lsp|c:wcalst|foreach|p
lisp/wcalst/wcalst.lsp|c:wcalst|foreach|stq
lisp/wcalst/wcalst.lsp|c:wcalst|foreach|vr
lisp/wcalst/wcalst.lsp|c:wcalst|setq|p
lisp/wcalst/wcalst.lsp|wc:build-nodes|foreach|p
lisp/wcalst/wcalst.lsp|wc:build-nodes|foreach|sg
lisp/wcalst/wcalst.lsp|wc:ent-points|foreach|g
lisp/wcalst/wcalst.lsp|wc:instair|foreach|r
lisp/xftconv/xftconv.lsp|xft:collect|foreach|g
shared/parts/ABLOBF.lsp|abl:add-point|setq|abl-numbered
shared/parts/ABLOBF.lsp|abl:add-point|setq|abl-ptkeys
shared/parts/ABLOBF.lsp|abl:add-point|setq|abl-ptnames
shared/parts/ABLOBF.lsp|abl:add-point|setq|npt
shared/parts/ABLOBF.lsp|abl:add-point|setq|pts
shared/parts/ABLOBF.lsp|abl:ask-cap|setq-global|*abl-max-arcs*
shared/parts/ABLOBF.lsp|abl:ask-tol|setq-global|*abl-tol*
shared/parts/ABLOBF.lsp|abl:compare|setq|abl-phase
shared/parts/ABLOBF.lsp|abl:edit-corners|setq|abl-corners
shared/parts/ABLOBF.lsp|abl:edit-corners|setq|abl-phase
